gw,home,away
1,ARS,COV
1,BHA,AVL
1,BRE,TOT
1,EVE,CRY
1,FUL,CHE
1,HUL,MUN
1,IPS,SUN
1,MCI,BOU
1,NEW,LIV
1,NFO,LEE
2,AVL,ARS
2,BOU,EVE
2,CHE,BHA
2,COV,HUL
2,CRY,MCI
2,LEE,BRE
2,LIV,NFO
2,MUN,IPS
2,SUN,FUL
2,TOT,NEW
3,ARS,CHE
3,BHA,LEE
3,BRE,SUN
3,EVE,MUN
3,FUL,CRY
3,HUL,AVL
3,IPS,LIV
3,MCI,COV
3,NEW,BOU
3,NFO,TOT
4,AVL,NFO
4,BOU,BRE
4,CHE,HUL
4,COV,BHA
4,CRY,IPS
4,LEE,NEW
4,LIV,FUL
4,MUN,MCI
4,SUN,ARS
4,TOT,EVE
5,BHA,ARS
5,BOU,LIV
5,BRE,CHE
5,EVE,IPS
5,FUL,MUN
5,LEE,CRY
5,MCI,SUN
5,NEW,HUL
5,NFO,COV
5,TOT,AVL
6,ARS,LEE
6,AVL,BRE
6,CHE,BOU
6,COV,NEW
6,CRY,NFO
6,HUL,EVE
6,IPS,FUL
6,LIV,MCI
6,MUN,TOT
6,SUN,BHA
7,BHA,CRY
7,BOU,SUN
7,BRE,LIV
7,EVE,CHE
7,FUL,HUL
7,LEE,MUN
7,MCI,IPS
7,NEW,AVL
7,NFO,ARS
7,TOT,COV
8,ARS,EVE
8,AVL,MCI
8,CHE,TOT
8,COV,FUL
8,CRY,NEW
8,HUL,BRE
8,IPS,NFO
8,LIV,BHA
8,MUN,BOU
8,SUN,LEE
9,AVL,FUL
9,BOU,LEE
9,BRE,NFO
9,CHE,MUN
9,COV,SUN
9,HUL,IPS
9,LIV,ARS
9,MCI,BHA
9,NEW,EVE
9,TOT,CRY
10,ARS,HUL
10,BHA,BRE
10,CRY,LIV
10,EVE,COV
10,FUL,NEW
10,IPS,BOU
10,LEE,TOT
10,MUN,AVL
10,NFO,MCI
10,SUN,CHE
11,AVL,SUN
11,BOU,NFO
11,BRE,EVE
11,CHE,LEE
11,COV,CRY
11,HUL,BHA
11,LIV,MUN
11,MCI,FUL
11,NEW,ARS
11,TOT,IPS
12,ARS,MCI
12,BHA,NEW
12,CRY,HUL
12,EVE,LIV
12,FUL,BOU
12,IPS,AVL
12,LEE,COV
12,MUN,BRE
12,NFO,CHE
12,SUN,TOT
13,AVL,EVE
13,BOU,BHA
13,BRE,ARS
13,CHE,CRY
13,COV,IPS
13,HUL,NFO
13,LIV,SUN
13,MCI,LEE
13,NEW,MUN
13,TOT,FUL
14,AVL,CRY
14,BOU,HUL
14,BRE,MCI
14,CHE,LIV
14,EVE,FUL
14,LEE,IPS
14,MUN,COV
14,NEW,SUN
14,NFO,BHA
14,TOT,ARS
15,ARS,BOU
15,BHA,EVE
15,COV,AVL
15,CRY,MUN
15,FUL,BRE
15,HUL,TOT
15,IPS,NEW
15,LIV,LEE
15,MCI,CHE
15,SUN,NFO
16,ARS,MUN
16,BHA,IPS
16,BOU,COV
16,BRE,NEW
16,CHE,AVL
16,LEE,FUL
16,LIV,TOT
16,MCI,HUL
16,NFO,EVE
16,SUN,CRY
17,AVL,LEE
17,COV,CHE
17,CRY,ARS
17,EVE,SUN
